# Mass_Msun	Radius_km	f_mode_Hz	Quadrupole_Moment_kgm^2	Surface_Redshift	Damping_time_s	Charateristic_Strain_hc		EoS
1.676419e-03	5.100000e-01	2.929224e+03	-4.86E+29	4.890762e-03	9.123624e-02	1.560214e-23		2
2.243908e-03	5.600000e-01	3.393487e+03	-5.86E+29	5.971463e-03	9.119042e-02	1.546441e-23		2
2.924286e-03	6.100000e-01	3.627704e+03	-6.61E+29	7.156819e-03	9.112130e-02	1.532978e-23		2
3.726668e-03	6.600000e-01	3.768563e+03	-6.92E+29	8.445764e-03	9.102901e-02	1.519875e-23		2
4.659814e-03	7.100000e-01	3.861818e+03	-6.54E+29	9.837147e-03	9.091373e-02	1.506953e-23		2
5.732102e-03	7.600000e-01	3.927320e+03	-5.20E+29	1.132973e-02	9.077569e-02	1.494178e-23		2
6.951515e-03	8.100000e-01	3.975116e+03	-2.62E+29	1.292221e-02	9.061515e-02	1.481543e-23		2
8.325444e-03	8.600000e-01	4.010840e+03	1.539150e+29	1.461286e-02	9.043243e-02	1.469039e-23		2
9.860963e-03	9.100000e-01	4.037900e+03	7.651631e+29	1.640015e-02	9.022785e-02	1.456668e-23		2
1.156470e-02	9.600000e-01	4.058479e+03	1.611478e+30	1.828247e-02	9.000181e-02	1.444417e-23		2
1.344283e-02	1.010000e+00	4.074043e+03	2.735913e+30	2.025815e-02	8.975471e-02	1.432293e-23		2
1.550105e-02	1.060000e+00	4.085612e+03	4.184481e+30	2.232542e-02	8.948701e-02	1.420285e-23		2
1.774458e-02	1.110000e+00	4.093922e+03	6.002825e+30	2.448245e-02	8.919918e-02	1.408396e-23		2
2.017774e-02	1.160000e+00	4.099515e+03	8.242283e+30	2.672675e-02	8.889174e-02	1.396619e-23		2
2.280466e-02	1.210000e+00	4.102803e+03	1.095720e+31	2.905624e-02	8.856522e-02	1.384959e-23		2
2.562900e-02	1.260000e+00	4.104063e+03	1.420453e+31	3.146881e-02	8.822024e-02	1.373406e-23		2
2.865395e-02	1.310000e+00	4.103551e+03	1.804303e+31	3.396228e-02	8.785743e-02	1.361969e-23		2
