# Mass_Msun	Radius_km	f_mode_Hz	Quadrupole_Moment_kgm^2	Surface_Redshift	Damping_time_s	Characteristic_Strain_hc	EoS
2.031855e-04	3.100000e-01	1.152793e+03	-7.86E+26	9.695036e-04	9.125926e-02	2.731733e-23	3
3.303163e-04	3.600000e-01	2.324562e+03	4.383919e+27	1.357996e-03	9.124591e-02	1.946914e-23	3
5.013990e-04	4.100000e-01	2.682589e+03	2.499003e+28	1.811196e-03	9.121873e-02	1.938486e-23	3
7.227674e-04	4.600000e-01	2.863672e+03	7.329197e+28	2.328857e-03	9.117768e-02	1.930236e-23	3
1.000663e-03	5.100000e-01	2.973051e+03	1.653437e+29	2.910703e-03	9.112281e-02	1.922144e-23	3
1.341227e-03	5.600000e-01	3.045968e+03	3.209413e+29	3.556422e-03	9.105419e-02	1.914194e-23	3
1.750485e-03	6.100000e-01	3.097711e+03	5.635666e+29	4.265674e-03	9.097189e-02	1.906378e-23	3
2.234343e-03	6.600000e-01	3.136009e+03	9.205867e+29	5.038085e-03	9.087600e-02	1.898678e-23	3
2.798574e-03	7.100000e-01	3.165195e+03	1.422879e+30	5.873252e-03	9.076663e-02	1.891086e-23	3
3.448808e-03	7.600000e-01	3.187888e+03	2.105192e+30	6.770737e-03	9.064391e-02	1.883598e-23	3
4.190525e-03	8.100000e-01	3.205766e+03	3.005714e+30	7.730075e-03	9.050796e-02	1.876199e-23	3
5.029047e-03	8.600000e-01	3.219955e+03	4.166332e+30	8.750767e-03	9.035893e-02	1.868888e-23	3
5.969528e-03	9.100000e-01	3.231235e+03	5.632313e+30	9.832284e-03	9.019699e-02	1.861658e-23	3
7.016946e-03	9.600000e-01	3.240171e+03	7.452358e+30	1.097407e-02	9.002232e-02	1.854503e-23	3
8.176098e-03	1.010000e+00	3.247174e+03	9.678460e+30	1.217552e-02	8.983510e-02	1.847419e-23	3
9.451593e-03	1.060000e+00	3.252557e+03	1.236582e+31	1.343604e-02	8.963552e-02	1.840403e-23	3
1.084785e-02	1.110000e+00	3.256561e+03	1.557273e+31	1.475495e-02	8.942381e-02	1.833451e-23	3
1.236907e-02	1.160000e+00	3.259372e+03	1.936051e+31	1.613159e-02	8.920018e-02	1.826559e-23	3
1.401927e-02	1.210000e+00	3.261139e+03	2.379339e+31	1.756524e-02	8.896487e-02	1.819724e-23	3
1.580225e-02	1.260000e+00	3.261983e+03	2.893838e+31	1.905516e-02	8.871812e-02	1.812942e-23	3
1.772159e-02	1.310000e+00	3.262002e+03	3.486517e+31	2.060059e-02	8.846019e-02	1.806211e-23	3
1.978066e-02	1.360000e+00	3.261276e+03	4.164616e+31	2.220072e-02	8.819133e-02	1.799528e-23	3
2.198261e-02	1.410000e+00	3.259874e+03	4.935620e+31	2.385474e-02	8.791182e-02	1.792890e-23	3
2.433036e-02	1.460000e+00	3.257851e+03	5.807257e+31	2.556178e-02	8.762194e-02	1.786297e-23	3
2.682662e-02	1.510000e+00	3.255257e+03	6.787493e+31	2.732096e-02	8.732198e-02	1.779744e-23	3
2.947386e-02	1.560000e+00	3.252134e+03	7.884518e+31	2.913138e-02	8.701223e-02	1.773232e-23	3
3.227434e-02	1.610000e+00	3.248517e+03	9.106747e+31	3.099210e-02	8.669299e-02	1.766755e-23	3
3.523007e-02	1.660000e+00	3.244439e+03	1.046281e+32	3.290217e-02	8.636458e-02	1.760315e-23	3
3.834287e-02	1.710000e+00	3.239928e+03	1.196154e+32	3.486058e-02	8.602731e-02	1.753907e-23	3
4.161430e-02	1.760000e+00	3.235008e+03	1.361198e+32	3.686634e-02	8.568148e-02	1.747532e-23	3
4.504572e-02	1.810000e+00	3.229701e+03	1.542339e+32	3.891841e-02	8.532744e-02	1.741187e-23	3
4.863826e-02	1.860000e+00	3.224028e+03	1.740520e+32	4.101573e-02	8.496550e-02	1.734869e-23	3
5.239283e-02	1.910000e+00	3.218007e+03	1.956707e+32	4.315721e-02	8.459600e-02	1.728580e-23	3
5.631014e-02	1.960000e+00	3.211654e+03	2.191885e+32	4.534176e-02	8.421926e-02	1.722315e-23	3
6.039067e-02	2.010000e+00	3.204985e+03	2.447058e+32	4.756825e-02	8.383563e-02	1.716076e-23	3
6.463469e-02	2.060000e+00	3.198014e+03	2.723252e+32	4.983553e-02	8.344544e-02	1.709858e-23	3
6.904228e-02	2.110000e+00	3.190755e+03	3.021514e+32	5.214244e-02	8.304903e-02	1.703662e-23	3
7.361331e-02	2.160000e+00	3.183218e+03	3.342911e+32	5.448780e-02	8.264673e-02	1.697487e-23	3
7.834745e-02	2.210000e+00	3.175417e+03	3.688532e+32	5.687040e-02	8.223889e-02	1.691329e-23	3
8.324420e-02	2.260000e+00	3.167362e+03	4.059489e+32	5.928903e-02	8.182584e-02	1.685190e-23	3
8.830286e-02	2.310000e+00	3.159062e+03	4.456919e+32	6.174245e-02	8.140792e-02	1.679067e-23	3
9.352254e-02	2.360000e+00	3.150529e+03	4.881981e+32	6.422942e-02	8.098546e-02	1.672959e-23	3
9.890221e-02	2.410000e+00	3.141772e+03	5.335861e+32	6.674867e-02	8.055881e-02	1.666882e-23	3
1.044406e-01	2.460000e+00	3.132798e+03	5.819771e+32	6.929894e-02	8.012828e-02	1.660877e-23	3
1.101365e-01	2.510000e+00	3.123618e+03	6.334952e+32	7.187892e-02	7.969421e-02	1.654947e-23	3
1.159881e-01	2.560000e+00	3.114240e+03	6.882673e+32	7.448734e-02	7.925693e-02	1.649095e-23	3
