# Mass_Msun	Radius_km	f_mode_Hz	Quadrupole_Moment_kgm^2	Surface_Redshift	Damping_time_s	Charateristic_Strain_hc	EoS
4.198386e-06	1.100000e-01	2.167428e+03	6.136531e+29	3.029775e-03	9.124802e-02	1.990348e-23	1
1.789575e-05	1.600000e-01	2.497792e+03	9.580962e+29	3.634851e-03	9.122488e-02	1.981276e-23	1
4.685281e-05	2.100000e-01	2.664997e+03	1.439165e+30	4.294119e-03	9.118994e-02	1.972323e-23	1
9.668551e-05	2.600000e-01	2.766109e+03	2.090015e+30	5.007312e-03	9.114323e-02	1.963500e-23	1
1.729777e-04	3.100000e-01	2.833636e+03	2.948061e+30	5.774140e-03	9.108479e-02	1.954820e-23	1
2.812732e-04	3.600000e-01	2.881678e+03	4.053939e+30	6.594293e-03	9.101467e-02	1.946295e-23	1
4.270674e-04	4.100000e-01	2.917364e+03	5.452234e+30	7.467441e-03	9.093293e-02	1.937941e-23	1
6.158002e-04	4.600000e-01	2.944690e+03	7.190905e+30	8.393229e-03	9.083965e-02	1.929725e-23	1
8.528471e-04	5.100000e-01	2.966073e+03	9.321468e+30	9.371287e-03	9.073491e-02	1.921598e-23	1
1.143513e-03	5.600000e-01	2.983058e+03	1.189877e+31	1.040122e-02	9.061882e-02	1.913567e-23	1
1.493023e-03	6.100000e-01	2.996684e+03	1.498099e+31	1.148261e-02	9.049146e-02	1.905637e-23	1
1.906516e-03	6.600000e-01	3.007672e+03	1.862950e+31	1.261503e-02	9.035296e-02	1.897814e-23	1
2.389040e-03	7.100000e-01	3.016538e+03	2.290873e+31	1.379801e-02	9.020344e-02	1.890104e-23	1
2.945540e-03	7.600000e-01	3.023665e+03	2.788615e+31	1.503108e-02	9.004303e-02	1.882514e-23	1
3.580856e-03	8.100000e-01	3.029339e+03	3.363210e+31	1.631375e-02	8.987187e-02	1.875053e-23	1
4.299714e-03	8.600000e-01	3.033781e+03	4.021971e+31	1.764550e-02	8.969010e-02	1.867722e-23	1
5.106723e-03	9.100000e-01	3.037163e+03	4.772460e+31	1.902578e-02	8.949790e-02	1.860463e-23	1
6.006364e-03	9.600000e-01	3.039622e+03	5.622553e+31	2.045403e-02	8.929542e-02	1.853278e-23	1
7.002990e-03	1.010000e+00	3.041267e+03	6.580324e+31	2.192969e-02	8.908283e-02	1.846171e-23	1
8.100817e-03	1.060000e+00	3.042188e+03	7.654100e+31	2.345215e-02	8.886032e-02	1.839146e-23	1
9.303921e-03	1.110000e+00	3.042459e+03	8.852439e+31	2.502079e-02	8.862808e-02	1.832206e-23	1
1.061623e-02	1.160000e+00	3.042141e+03	1.018412e+32	2.663498e-02	8.838630e-02	1.825355e-23	1
1.204153e-02	1.210000e+00	3.041286e+03	1.165814e+32	2.829406e-02	8.813517e-02	1.818597e-23	1
1.358344e-02	1.260000e+00	3.039938e+03	1.328369e+32	2.999734e-02	8.787492e-02	1.811937e-23	1
1.524544e-02	1.310000e+00	3.038134e+03	1.507018e+32	3.174415e-02	8.760575e-02	1.805365e-23	1
1.703082e-02	1.360000e+00	3.035906e+03	1.702719e+32	3.353375e-02	8.732788e-02	1.798847e-23	1
1.894275e-02	1.410000e+00	3.033282e+03	1.916450e+32	3.536543e-02	8.704154e-02	1.792386e-23	1
